file,CH1_BPFI_energy,CH1_BPFO_energy,CH1_BSF_energy,CH1_CRS_energy,CH2_BPFI_energy,CH2_BPFO_energy,CH2_BSF_energy,CH2_CRS_energy,CH3_BPFI_energy,CH3_BPFO_energy,CH3_BSF_energy,CH3_CRS_energy,CH4_BPFI_energy,CH4_BPFO_energy,CH4_BSF_energy,CH4_CRS_energy
modified_KIMM Simulator_KIMM Bearing Test_20160401222507.tdms,1.1554779335326707e+84,2.612484307195802e+84,3.707309934296066e+84,1.8505769645617675e+85,2.671941630096418e+85,6.041827155414552e+85,8.5744605121257e+85,4.276457334134456e+86,1.4306823107729064e+86,3.234838103006632e+86,4.5905329891095037e+86,2.2778004810794708e+87,1.6821568183872613e+85,3.80356304565307e+85,5.398165527163214e+85,2.711820889185794e+86
modified_KIMM Simulator_KIMM Bearing Test_20160401223507.tdms,3.0354340406457998e+84,6.863816607104741e+84,9.740862833526235e+84,4.8438022377569466e+85,5.1682337389765756e+84,1.1686654914395049e+85,1.6583903170244384e+85,8.297394459035174e+85,4.310999297784775e+85,9.747118368414197e+85,1.3833340073308943e+86,6.83631852451722e+86,5.4653454214616065e+85,1.2358228853761576e+86,1.7536560872846938e+86,8.697684502131073e+86
modified_KIMM Simulator_KIMM Bearing Test_20160401224507.tdms,1.9872039572506586e+84,4.492814785827318e+84,6.376676810318692e+84,3.161964643539497e+85,4.595899822550525e+82,1.0393021572060383e+83,1.4750733385346476e+83,7.329653740004857e+83,2.7438941922023404e+85,6.203849565828502e+85,8.804752428551537e+85,4.336728057317677e+86,1.6163488196993934e+84,3.654979544615561e+84,5.187608399133331e+84,2.564538197774019e+85
modified_KIMM Simulator_KIMM Bearing Test_20160401225507.tdms,3.0226817215802142e+84,6.835527854475003e+84,9.702171237524499e+84,4.821059073512382e+85,6.358267356722754e+83,1.437740423374052e+84,2.0404498228156955e+84,1.0061918200107148e+85,2.6418736401110703e+85,5.973426276194343e+85,8.476848716448652e+85,4.195599961739847e+86,4.2594946303767733e+83,9.630345710955531e+83,1.3668253072680742e+84,6.729178654303392e+84
modified_KIMM Simulator_KIMM Bearing Test_20160401230507.tdms,1.9665391930737513e+84,4.446900856932183e+84,6.312023510936444e+84,3.1404551752965576e+85,2.3113448403311895e+83,5.226876380946586e+83,7.418978604218065e+83,3.6740236828703075e+84,1.2084475580612438e+85,2.7330022415089515e+85,3.879290819746205e+85,1.920846478196263e+86,6.623370960728661e+83,1.4977785753090325e+84,2.1258696293687553e+84,1.056271510872087e+85
modified_KIMM Simulator_KIMM Bearing Test_20160401231507.tdms,3.0758245929595285e+82,6.954927612236715e+82,9.871103379483512e+82,4.925852399896687e+83,1.566635812806202e+85,3.5415713324653686e+85,5.0258718001008586e+85,2.48960454300568e+86,4.637595482258874e+85,1.048683930868519e+86,1.48838750841626e+86,7.368813082934552e+86,2.0978428313892358e+85,4.743751423967004e+85,6.732456212314381e+85,3.351914887846834e+86
modified_KIMM Simulator_KIMM Bearing Test_20160401232507.tdms,8.399446343227573e+82,1.8993101049050152e+83,2.69556624727954e+83,1.3327254533543637e+84,3.929593217587517e+84,8.88525114205024e+84,1.2609937850831581e+85,6.284773312750683e+85,2.3385146322963912e+83,5.287888619595581e+83,7.505103355226094e+83,3.763681312624352e+84,3.953970417220533e+84,8.942099509988841e+84,1.2693716740085332e+85,6.349541811534709e+85
modified_KIMM Simulator_KIMM Bearing Test_20160401233507.tdms,1.0026153906732858e+85,2.2669264342310525e+85,3.2171954675093306e+85,1.5956052712197133e+86,2.7892170176234085e+85,6.307430046711566e+85,8.952658767150945e+85,4.46526984702661e+86,4.3738691995569305e+84,9.8883978514944e+84,1.4033342079805736e+85,7.05958766149693e+85,8.936995706705575e+83,2.0205202111334754e+84,2.8674625441857922e+84,1.4298954189389082e+85
modified_KIMM Simulator_KIMM Bearing Test_20160401234507.tdms,9.208881591197611e+83,2.0821400792456642e+84,2.9545425611303474e+84,1.469940762531233e+85,2.0739377056463055e+84,4.690318240269277e+84,6.658217199732203e+84,3.3487940827118655e+85,7.736186398320378e+84,1.749301598103859e+85,2.4829065661088588e+85,1.225665208388734e+86,3.617229750470942e+83,8.179893066565112e+83,1.1610012279376944e+84,5.767951920122904e+84
modified_KIMM Simulator_KIMM Bearing Test_20160401235507.tdms,6.648220315338344e+84,1.503077797326198e+85,2.1331239540329715e+85,1.0661623245017766e+86,8.009760578225739e+83,1.8112172752574122e+84,2.5706208902034155e+84,1.28283135386133e+85,3.246365247676705e+83,7.341082297119821e+83,1.0419715995544651e+84,5.181849309585338e+84,8.400183229671063e+84,1.8996425935095515e+85,2.696424429218154e+85,1.337248872692795e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402000507.tdms,1.0615352361187587e+85,2.4001973821636725e+85,3.40642895224051e+85,1.6960108892638045e+86,7.968301304710952e+84,1.8016634842374582e+85,2.557218143096524e+85,1.2666445952919506e+86,5.087201561493293e+84,1.1503996930132656e+85,1.632879317609093e+85,8.12009313727917e+85,8.803732654098932e+83,1.9907353434020915e+84,2.8255088183907703e+84,1.4019796454977988e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402001507.tdms,2.0830247426786464e+84,4.710112676708491e+84,6.684942425418891e+84,3.31401242130341e+85,2.7108751256810666e+84,6.1298035289897684e+84,8.699299940089282e+84,4.3067130678742614e+85,8.281222064949824e+84,1.8724100970534018e+85,2.6571572767492907e+85,1.3311168463787644e+86,3.1674373165746826e+84,7.161346508652856e+84,1.016307359570855e+85,5.0041872699393815e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402002507.tdms,1.0605064549574075e+85,2.3982754342490784e+85,3.4036975528379884e+85,1.6812585047764123e+86,4.242527022102486e+84,9.59443697846352e+84,1.3616864745045834e+85,6.714631231706707e+85,4.6337364634877104e+85,1.0477882394844866e+86,1.4872179700102667e+86,7.386500151049381e+86,6.635440277935601e+82,1.500659821192188e+83,2.1301588879479244e+83,1.0658692585623154e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402003507.tdms,6.517812710407375e+83,1.4738549695533977e+84,2.091849029051042e+84,1.0366687623625214e+85,2.7011332739235854e+85,6.107635869125241e+85,8.669157983220191e+85,4.2959220576185405e+86,5.512969874393584e+84,1.2468372729878657e+85,1.7698642333316115e+85,8.816240895192179e+85,5.081999074266667e+84,1.1491436579583407e+85,1.6309661423362885e+85,8.211774871985683e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402004507.tdms,1.644472691032864e+83,3.718942773002739e+83,5.277656371196518e+83,2.628305958134967e+84,4.296076726981971e+82,9.714014855153803e+82,1.378650209486281e+83,6.865506349490839e+83,9.780514640400872e+83,2.211564023278826e+84,3.1385453616474783e+84,1.5571293094501283e+85,3.174805599648309e+84,7.179148363115307e+84,1.0188968767811091e+85,5.082526743261236e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402005507.tdms,1.8339483965318487e+84,4.146620989817333e+84,5.8848172968788905e+84,2.9239561692030318e+85,5.172290332905442e+85,1.1697266502186653e+86,1.6602462648785127e+86,8.302524951882633e+86,6.159821912976815e+80,1.392924849172702e+81,1.9770090643127167e+81,9.745010727086713e+81,2.459387271035542e+85,5.5607270335272934e+85,7.89160976664497e+85,3.909354417067156e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402010507.tdms,9.873255900156188e+81,2.2325055611588717e+82,3.168377590284478e+82,1.5781904082246863e+83,4.5218811987540434e+83,1.0224725107889985e+84,1.4511962849397643e+84,7.209702673539338e+84,2.2276904334533652e+85,5.0374029709202235e+85,7.150057946474692e+85,3.602214503274662e+86,7.0633417135395475e+84,1.597184323380979e+85,2.267131501069175e+85,1.1302155051608694e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402011507.tdms,1.328321747964313e+84,3.003832320378712e+84,4.263618254246997e+84,2.1091246277655783e+85,5.391344320943469e+83,1.2191365386048301e+84,1.730162771334345e+84,8.663398578881429e+84,3.804681972558147e+85,8.602665519119302e+85,1.2208496088338654e+86,6.094974319480079e+86,2.9918524933086454e+84,6.766004177261765e+84,9.602000049142072e+84,4.7540393116758464e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402012507.tdms,6.089487901630752e+83,1.3769361257543082e+84,1.954379656445601e+84,9.667104986001314e+84,2.688860865151439e+84,6.080576869091473e+84,8.630341834603279e+84,4.2821890104261556e+85,1.3681372725028663e+82,3.0936955044280884e+82,4.390455030374502e+82,2.2007371952101978e+83,4.989768201617376e+83,1.128357639780983e+84,1.60148701734669e+84,7.979663043959108e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402013507.tdms,3.3595070768531143e+84,7.596743641493071e+84,1.078231273666626e+85,5.316688474807379e+85,1.0945945867256275e+84,2.475121175444453e+84,3.512891624453688e+84,1.7395957476844346e+85,6.537850079261235e+83,1.4784051092418183e+84,2.0985565482357413e+84,1.0484323912352565e+85,1.276517561231164e+84,2.8864681830886366e+84,4.096708969853183e+84,2.0428425821815147e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402014507.tdms,1.183414821455318e+84,2.6759832330102276e+84,3.797542570509382e+84,1.876574008095117e+85,3.0443959004828795e+85,6.884494451488078e+85,9.770719754484398e+85,4.848536185674362e+86,9.494203235968403e+84,2.14691204247924e+85,3.0469261860124156e+85,1.509247303790109e+86,2.4016775602457311e+83,5.430586876498354e+83,7.707257478331693e+83,3.831255042827968e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402015507.tdms,1.9445841122606e+84,4.397312748595424e+84,6.241279068746078e+84,3.1075743812878533e+85,1.942244277585061e+84,4.391920441370867e+84,6.233091725070353e+84,3.104574007633954e+85,3.1557003699557604e+82,7.135217551401107e+82,1.0126346118025786e+83,4.997370281449439e+83,3.350936178741915e+84,7.578224816270843e+84,1.0755938840448206e+85,5.3579363384184436e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402020507.tdms,3.452047232928532e+84,7.805115050473497e+84,1.107675293127788e+85,5.5166538726608635e+85,1.104220039674843e+83,2.496863888807522e+83,3.5434768051362587e+83,1.7776996103980906e+84,3.7805603682250313e+84,8.548502083174961e+84,1.2131669180572546e+85,5.992004563749069e+85,3.109651333408602e+85,7.031644161626325e+85,9.980300488720619e+85,4.986048354076032e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402021507.tdms,7.341530560252555e+83,1.6601262076234684e+84,2.3562774762780336e+84,1.1735347393501019e+85,1.0169312471481304e+85,2.2995132258360387e+85,3.263911619666078e+85,1.5995250328474988e+86,1.096602770846272e+84,2.479965903108662e+84,3.5206711150977328e+84,1.7433296726693044e+85,9.974704528250452e+85,2.2554698705397558e+86,3.201133430245979e+86,1.597339528930478e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402022507.tdms,6.282742246526562e+82,1.4204428277544458e+83,2.0158566797326506e+83,9.949933563649327e+83,3.5695636071264702e+84,8.072905696345424e+84,1.1458787809338418e+85,5.747274226167133e+85,3.8389347629502557e+84,8.6808881395347e+84,1.2320845560753908e+85,6.101491698174666e+85,2.8430764053267065e+84,6.430015190652413e+84,9.126234246574909e+84,4.5453318681959107e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402023507.tdms,2.4226320778383297e+85,5.477697267871984e+85,7.773808473541763e+85,3.884351957236842e+86,2.7753467037417708e+84,6.275831277618949e+84,8.906488338489847e+84,4.418758178601529e+85,8.609298234342385e+84,1.946580801057132e+85,2.7627190555278374e+85,1.3638109980517151e+86,2.3843840308941186e+84,5.391589828679687e+84,7.652130707444302e+84,3.8154882550330673e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402024507.tdms,5.489261875012416e+82,1.2412913132240199e+83,1.7616223698048843e+83,8.750387025406508e+83,4.086711694286827e+85,9.240364884726124e+85,1.3113509801970323e+86,6.533373285739582e+86,7.29680163454253e+85,1.64987697948461e+86,2.341420191869371e+86,1.1673591529977544e+87,3.1010504127470078e+84,7.011546108738038e+84,9.950919559752267e+84,4.937852252322236e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402025507.tdms,2.3516577551826193e+84,5.317765734249107e+84,7.547554374621811e+84,3.754068720496704e+85,3.387203712958708e+84,7.658301725574548e+84,1.086749642833834e+85,5.457768286990036e+85,2.2911954673223807e+85,5.181204718165746e+85,7.353324022426411e+85,3.669914791074938e+86,1.597037268405617e+84,3.6106822194565933e+84,5.124662916328491e+84,2.5502960215112195e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402030507.tdms,7.365767793902246e+83,1.6656234345571725e+84,2.363879973377083e+84,1.1761526921206126e+85,3.1223517774108165e+84,7.061690378919952e+84,1.0023079144093034e+85,5.020144763755675e+85,3.2391614055994577e+81,7.323904273162874e+81,1.0394594387183443e+82,5.1813739102317184e+82,1.046708200374035e+84,2.3668787355172667e+84,3.3588904103583048e+84,1.6783473237126785e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402031507.tdms,1.3668202851616794e+85,3.0903972020934655e+85,4.3851980149971265e+85,2.1618956010060397e+86,4.8922886300589066e+85,1.1062504807074743e+86,1.5700911144344145e+86,7.828251576797423e+86,4.8170032364670635e+85,1.0891431419160668e+86,1.5457098127713907e+86,7.679904046860516e+86,3.160147304007734e+82,7.146713057817631e+82,1.0144018642792791e+83,5.092106405006665e+83
modified_KIMM Simulator_KIMM Bearing Test_20160402032507.tdms,1.0563835242248454e+85,2.3887059781578e+85,3.389914092917468e+85,1.6709265501786303e+86,2.1055407673422532e+86,4.7609245243221615e+86,6.756971198917131e+86,3.3883949415148027e+87,2.320697160347708e+85,5.248280144799266e+85,7.449449940829281e+85,3.709941854100798e+86,3.610347358695275e+85,8.16296952532329e+85,1.158518604548932e+86,5.77725540595972e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402033507.tdms,2.571780433294864e+84,5.81554583872212e+84,8.253902532619227e+84,4.150669402597021e+85,7.324445955873248e+83,1.656307778322657e+84,2.350914930873006e+84,1.1742653270017563e+85,2.2076473245983113e+84,4.991581402452028e+84,7.084917812485397e+84,3.527939672171548e+85,1.5169212039951403e+84,3.4301495052672297e+84,4.869083095448546e+84,2.423779892628743e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402034507.tdms,3.174968378528943e+83,7.179245998659704e+83,1.0188808016718233e+84,5.061624588792212e+84,6.502666138939424e+84,1.4703478795088284e+85,2.086596193808144e+85,1.0400060373004856e+86,1.3807282589124818e+85,3.121791478972334e+85,4.430514371405755e+85,2.2099235410743336e+86,3.4805150810601504e+85,7.871548255111272e+85,1.1174383034297552e+86,5.571555790677243e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402035507.tdms,8.085114144550118e+83,1.828367391574866e+84,2.595124202329564e+84,1.2861149260386194e+85,1.2451958115773367e+84,2.815769289594611e+84,3.996762595007133e+84,1.9939560845295912e+85,2.921069877467886e+83,6.604953565830182e+83,9.375392400833047e+83,4.687071510211777e+84,2.49525210790713e+83,5.641805317006254e+83,8.007151303244697e+83,3.97105937515642e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402040507.tdms,1.911999259957371e+83,4.3225956840087233e+83,6.13456830615618e+83,3.049455072457147e+84,4.547554137320667e+84,1.0283174399432051e+85,1.459635284082098e+85,7.294924648138934e+85,5.845321825263104e+85,1.3216393365539546e+86,1.8756586493368584e+86,9.303157709880259e+86,1.4962112873208248e+83,3.3828582072901046e+83,4.8008057600916367e+83,2.3810992678031363e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402041507.tdms,2.3593992293160008e+83,5.335165262044111e+83,7.572489845886396e+83,3.753863565336816e+84,1.79336710033982e+84,4.0543582079076996e+84,5.753422598347195e+84,2.867684804553645e+85,3.825264505815356e+84,8.65057173613788e+84,1.227731354417211e+85,6.132641824912502e+85,4.897683832071691e+84,1.1076502421713109e+85,1.572143395847487e+85,7.76831661683344e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402042507.tdms,6.644560881290913e+84,1.5026516463339604e+85,2.132545018027285e+85,1.06708771890468e+86,5.920940567728043e+84,1.33885913963841e+85,1.9001227000969384e+85,9.474819845540114e+85,1.018676391046728e+85,2.303361730027871e+85,3.269025188459856e+85,1.6068719201317247e+86,1.6462684311954653e+83,3.722476747065099e+83,5.282784071437206e+83,2.6328137272858005e+84
modified_KIMM Simulator_KIMM Bearing Test_20160402043507.tdms,9.260907059406682e+83,2.0944684476230624e+84,2.9730428644211032e+84,1.475486753114375e+85,8.131629861303561e+84,1.8387426720882896e+85,2.609610078111901e+85,1.3079013398647793e+86,1.438816564968387e+84,3.253252810332885e+84,4.616955028866465e+84,2.3122844086217893e+85,9.54581719963329e+83,2.158515296206953e+84,3.0638895165563655e+84,1.534746147194078e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402044507.tdms,3.609250610320705e+82,8.160931782360185e+82,1.1581847451727331e+83,5.777565016494296e+83,1.4677209702699132e+84,3.3183031576715653e+84,4.7087793095009e+84,2.3420498635086985e+85,3.279811996627815e+84,7.415915189686596e+84,1.0523922607761698e+85,5.283065966844468e+85,3.792796028090637e+85,8.575920582007499e+85,1.217008282030136e+86,6.076593012874818e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402045507.tdms,3.5800822633351725e+85,8.095204826723832e+85,1.1490946956751758e+86,5.677310507655875e+86,3.219914478027941e+85,7.28041472760224e+85,1.033176334355974e+86,5.148099148860831e+86,1.9519464855472894e+81,4.413367823463543e+81,6.26339723953154e+81,3.127652085105163e+82,4.155465384968592e+85,9.395636598340789e+85,1.3333679094760218e+86,6.605049872926346e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402050507.tdms,9.179030494596359e+84,2.0755685947542446e+85,2.9457514158311735e+85,1.4648569828840758e+86,1.4252688780910829e+85,3.222651610284259e+85,4.573326322006513e+85,2.270148624001519e+86,5.198765548980933e+85,1.1754087952951876e+86,1.668106049106543e+86,8.356014867495055e+86,8.423059611451542e+84,1.9047547386321113e+85,2.7036975205715107e+85,1.353780632754822e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402051507.tdms,2.1664292378673806e+85,4.898778466058854e+85,6.95230744983929e+85,3.4566744622054405e+86,3.4910571824941166e+85,7.8934048505767e+85,1.1202071562904698e+86,5.576564303149692e+86,9.191648741645205e+84,2.0784064352652173e+85,2.949643164338313e+85,1.4612293887433423e+86,5.8954910837518874e+85,1.3330901649362745e+86,1.892136824008705e+86,9.340841977320927e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402052507.tdms,1.0947810982191473e+84,2.475510893916313e+84,3.5134328166125912e+84,1.7543226977306844e+85,1.09205865128826e+85,2.4692466805625425e+85,3.504387337855871e+85,1.7494133481482473e+86,2.7248284447611273e+85,6.161079893844985e+85,8.744078529276927e+85,4.332561883090463e+86,9.052900019556787e+83,2.046932765570075e+84,2.9049267712736115e+84,1.4453483109179019e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402053507.tdms,5.180431096025121e+83,1.1713659538158992e+84,1.6623864364306529e+84,8.255505169188032e+84,4.139062003014532e+84,9.35909386421406e+84,1.3283253466903297e+85,6.624379669666234e+85,2.975017590637439e+85,6.727106652492588e+85,9.54789253655965e+85,4.752349965421419e+86,1.0053400274087224e+86,2.273355457859915e+86,3.2268028723682507e+86,1.5948505466129776e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402054507.tdms,2.457799794739409e+84,5.557546797099825e+84,7.887510275629731e+84,3.942093937077579e+85,9.95839733633018e+83,2.2513883590133408e+84,3.195162828126043e+84,1.5881581955681448e+85,5.255955919154797e+82,1.1886214239146674e+83,1.6871362247352621e+83,8.401830339596224e+83,6.604148993386436e+85,1.493274725665648e+86,2.119479349880717e+86,1.0524521737578096e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402055507.tdms,2.0076420128920025e+83,4.5400715703838256e+83,6.444223326486532e+83,3.1983417714785444e+84,3.5881437615408096e+85,8.112938917365462e+85,1.1513445132051938e+86,5.692136845454019e+86,1.5116367420312765e+86,3.4177692099393397e+86,4.850377186191868e+86,2.4150127980822267e+87,5.9801327293733165e+84,1.352040348500538e+85,1.9189220711510928e+85,9.403625244286012e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402060507.tdms,1.9244533958176059e+84,4.351722445114675e+84,6.1765985911787096e+84,3.0795407515356212e+85,5.845501433523067e+83,1.3218607236813071e+84,1.8761705765292368e+84,9.290595406635445e+84,1.860899461007287e+85,4.2082757181151337e+85,5.9726612491750515e+85,2.9927986439875245e+86,1.4544426296672118e+86,3.288834443166738e+86,4.667413929828825e+86,2.332914826581919e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402061507.tdms,2.245443863489629e+84,5.078135521068448e+84,7.2065785442548594e+84,3.6074201927156154e+85,1.2290413775005943e+85,2.7789268565034926e+85,3.944180446216925e+85,1.9688630082366443e+86,9.8616406614438e+85,2.2299280286587215e+86,3.164659015884643e+86,1.56902167448358e+87,4.145649102274758e+85,9.3732732075363e+85,1.3303838835236954e+86,6.628687243575975e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402062507.tdms,5.896374665351856e+83,1.3332323804619958e+84,1.8921361097392457e+84,9.365757530943437e+84,7.565635502681201e+84,1.710730312644286e+85,2.4277965835788665e+85,1.2044634939341049e+86,9.57500872667239e+83,2.1649079425141717e+84,3.072569586628208e+84,1.5279710672150595e+85,1.3204125843246907e+85,2.985435456132831e+85,4.2371675348281325e+85,2.1219023492873645e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402063507.tdms,3.386674254393024e+84,7.658634897182811e+84,1.0869561803501887e+85,5.3728935566171214e+85,5.5236621818047114e+85,1.2491601769283515e+86,1.7729549073516636e+86,8.83942181817425e+86,2.275563252253302e+85,5.1453690993496934e+85,7.302846832220739e+85,3.635329328162354e+86,1.3551553266007985e+84,3.0640257280820868e+84,4.3483715369438385e+84,2.1688876227317725e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402064507.tdms,2.4280440772512263e+83,5.490106458052704e+83,7.791482647458688e+83,3.877164976303271e+84,3.6344585517305916e+84,8.21936868263283e+84,1.166584099674203e+85,5.778384564007947e+85,3.013413942043907e+83,6.81417740905042e+83,9.670701053271471e+83,4.8609492397375035e+84,7.91531628706168e+85,1.7894168878005926e+86,2.539572640714665e+86,1.2672382364693382e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402065507.tdms,6.001182269569482e+84,1.356997704508724e+85,1.925677437090115e+85,9.61907006452973e+85,2.4959695003273697e+84,5.6440265340585275e+84,8.010352836870641e+84,4.0085469846085204e+85,8.06888812388869e+85,1.8244639445391627e+86,2.589390436206505e+86,1.2781519287300821e+87,8.896217762806865e+84,2.0116921195924088e+85,2.8550663075067173e+85,1.412787400128134e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402070507.tdms,1.1479995443306474e+85,2.595872333717896e+85,3.684234750493506e+85,1.838937705340787e+86,3.683149724902938e+84,8.328006002091272e+84,1.1818572052891766e+85,5.879504597947846e+85,1.25469623648729e+85,2.8373613259533445e+85,4.027018368905981e+85,2.0004318660751392e+86,1.708504787767144e+85,3.8635889759067634e+85,5.484026168108053e+85,2.7364356569822725e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402071507.tdms,2.8689356670862374e+84,6.485940202647482e+84,9.204920155404543e+84,4.601851408915226e+85,8.9598850109497e+83,2.0264296252797726e+84,2.8765578737159333e+84,1.4330016938352086e+85,5.472384747173888e+85,1.237573537533752e+86,1.756442898486133e+86,8.680904639009461e+86,4.689037559232315e+85,1.0603283744994317e+86,1.504822076758841e+86,7.55688372482944e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402072507.tdms,1.8441819583991343e+84,4.170688286726975e+84,5.920131598601811e+84,2.9447083309414514e+85,1.424698421945731e+85,3.221530681005751e+85,4.572957538009095e+85,2.2667718130338046e+86,9.118024594097055e+84,2.0616672121288336e+85,2.9260401831853046e+85,1.45094410582028e+86,2.1958312061964136e+86,4.965304976365279e+86,7.047509773021121e+86,3.48044979844747e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402073507.tdms,1.884245341096208e+84,4.259776383913453e+84,6.044939437145951e+84,3.002698556408869e+85,3.8733949025679884e+84,8.757404418432732e+84,1.2429031005893072e+85,6.184657152863276e+85,5.698022905134123e+83,1.2884631743643114e+84,1.8286177822642414e+84,9.192864844948473e+84,1.2976812620065083e+86,2.934361932078207e+86,4.1650047573022087e+86,2.0656475737374937e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402074507.tdms,4.757073195773779e+84,1.0755339822354707e+85,1.5263163647014247e+85,7.554005361797668e+85,9.818731215958502e+84,2.2200041339862468e+85,3.150501209854445e+85,1.5599830781480516e+86,3.2077392701450277e+84,7.2540872417300655e+84,1.0295752179344815e+85,5.113335696689603e+85,4.585169193759439e+84,1.036740491560421e+85,1.4713276737807786e+85,7.38648789809785e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402075507.tdms,3.629482961762568e+83,8.206948355465814e+83,1.1648614656122846e+84,5.792757517109447e+84,2.0116829124353e+86,4.5486839275561734e+86,6.455115180239916e+86,3.189133530933276e+87,1.0182240084847723e+85,2.3023940149619046e+85,3.2676482299926386e+85,1.637732871787621e+86,1.5641914705366651e+84,3.5367221835677124e+84,5.019553631612295e+84,2.4875547277628255e+85
modified_KIMM Simulator_KIMM Bearing Test_20160402080507.tdms,3.5635131859459017e+84,8.057049871773511e+84,1.1434399416275647e+85,5.643019308622663e+85,2.592706064450848e+84,5.861770836710179e+84,8.318478101316744e+84,4.1433603135155275e+85,3.536757395962494e+85,7.997961190395813e+85,1.1351664383990948e+86,5.622976999761788e+86,1.0121390967418451e+86,2.2887150828788873e+86,3.248190843826942e+86,1.6366574389238626e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402081507.tdms,1.5049152318386836e+84,3.4032327801485685e+84,4.8307573381883536e+84,2.377480072060247e+85,4.70878832980763e+84,1.0648196357056916e+85,1.5112317559137356e+85,7.561036632962011e+85,3.829148700754258e+85,8.65847561580813e+85,1.2289500939187195e+86,6.094249115672134e+86,6.552519888271683e+85,1.481656058187813e+86,2.1028903802703886e+86,1.0405647120745643e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402082507.tdms,1.3893271681872113e+85,3.14159374442777e+85,4.458508256107937e+85,2.2230085378310097e+86,2.327858367186599e+84,5.263427350869084e+84,7.469445836300827e+84,3.713199912409658e+85,1.3937103142560937e+86,3.151419922584432e+86,4.4732905491457976e+86,2.2243723190352727e+87,3.351062642477868e+85,7.576751844083657e+85,1.0751760013543067e+86,5.391669338545973e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402083507.tdms,2.272741807824512e+84,5.139939681303797e+84,7.295488996788328e+84,3.622448829005414e+85,6.303820273255567e+83,1.4253764036107806e+84,2.0229981828828853e+84,9.992587129484742e+84,9.72862474003959e+81,2.1999010442782884e+82,3.122455553781482e+82,1.5438336671443747e+83,9.985435968733257e+84,2.258038370194322e+85,3.20511983101032e+85,1.6113161683381977e+86
modified_KIMM Simulator_KIMM Bearing Test_20160402084507.tdms,4.879337796063907e+84,1.1034984443099572e+85,1.566395269162497e+85,7.859474017001492e+85,1.2307460672819213e+84,2.7829957277614975e+84,3.95014935677463e+84,1.978195528739788e+85,1.7507390025991132e+86,3.958741942828122e+86,5.618475740513292e+86,2.805212275156952e+87,9.955446215711107e+85,2.250690350999777e+86,3.1939320873230394e+86,1.6010916088214176e+87
modified_KIMM Simulator_KIMM Bearing Test_20160402085507.tdms,1.1743479376320663e+85,2.655296200967895e+85,3.768487542407731e+85,1.879213937509616e+86,1.706924926648761e+84,3.8592860093221794e+84,5.477119717122866e+84,2.7355701299934632e+85,2.1892619090300773e+85,4.9503071705545546e+85,7.026667210182276e+85,3.498292254340719e+86,1.1212192704201889e+86,2.5352393637705484e+86,3.598543803535164e+86,1.7930774684998258e+87
